participant_id,Q1,Q2,Q3,Q4,Q5
1,5,5.0,5,5.0,2
2,4,5.0,4,5.0,5
3,5,5.0,5,5.0,3
4,5,,5,4.0,3
5,3,4.0,4,5.0,4
6,4,5.0,5,5.0,5
7,5,5.0,5,5.0,5
8,4,4.0,3,4.0,5
9,5,5.0,5,5.0,4
10,5,5.0,5,5.0,5
11,5,5.0,4,,3
12,5,5.0,5,5.0,5
13,5,5.0,5,5.0,5
14,5,5.0,5,5.0,5
15,5,4.0,4,4.0,5
16,3,4.0,2,4.0,4
17,5,5.0,5,5.0,4
18,5,5.0,4,5.0,5
19,5,5.0,4,4.0,5
20,4,3.0,4,4.0,5
21,5,5.0,5,5.0,5
22,4,5.0,5,5.0,5
23,5,5.0,4,5.0,5
24,5,5.0,5,5.0,5
25,5,5.0,4,5.0,3
26,3,3.0,3,3.0,5
27,4,5.0,4,4.0,5
28,2,3.0,2,4.0,4
29,5,5.0,5,5.0,5
30,4,4.0,4,5.0,5
31,5,4.0,4,5.0,5
32,5,5.0,5,5.0,4
33,3,4.0,3,4.0,5
34,5,5.0,5,5.0,5
35,4,3.0,3,2.0,5
36,4,4.0,5,5.0,5
37,4,4.0,3,3.0,5
38,5,5.0,5,5.0,4
39,5,5.0,5,5.0,4
40,4,5.0,5,5.0,5
