condition,voltage_uv
eyes_closed,5.65
eyes_closed,7.02
eyes_closed,7.02
eyes_closed,6.11
eyes_closed,4.73
eyes_closed,3.51
eyes_closed,2.75
eyes_closed,3.21
eyes_closed,4.43
eyes_closed,6.11
eyes_closed,7.33
eyes_closed,7.63
eyes_closed,6.41
eyes_closed,3.82
eyes_closed,0.16
eyes_closed,-3.81
eyes_closed,-7.32
eyes_closed,-9.76
eyes_closed,-10.98
eyes_closed,-11.29
eyes_closed,-10.98
eyes_closed,-10.98
eyes_closed,-11.75
eyes_closed,-12.81
eyes_closed,-14.19
eyes_closed,-15.1
eyes_closed,-15.41
eyes_closed,-15.1
eyes_closed,-14.34
eyes_closed,-14.03
eyes_closed,-14.8
eyes_closed,-16.63
eyes_closed,-19.38
eyes_closed,-21.97
eyes_closed,-23.5
eyes_closed,-23.5
eyes_closed,-22.12
eyes_closed,-19.99
eyes_closed,-17.7
eyes_closed,-16.63
eyes_closed,-16.32
eyes_closed,-16.78
eyes_closed,-17.09
eyes_closed,-16.93
eyes_closed,-15.1
eyes_closed,-12.2
eyes_closed,-9.15
eyes_closed,-6.41
eyes_closed,-4.88
eyes_closed,-4.88
eyes_closed,-6.25
eyes_closed,-8.08
eyes_closed,-9.3
eyes_closed,-9.76
eyes_closed,-8.85
eyes_closed,-6.71
eyes_closed,-3.81
eyes_closed,-0.76
eyes_closed,1.99
eyes_closed,4.12
eyes_closed,5.34
eyes_closed,5.8
eyes_closed,5.65
eyes_closed,4.73
eyes_closed,3.82
eyes_closed,3.21
eyes_closed,2.9
eyes_closed,3.21
eyes_closed,3.82
eyes_closed,4.58
eyes_closed,5.04
eyes_closed,5.34
eyes_closed,5.19
eyes_closed,5.04
eyes_closed,5.04
eyes_closed,5.95
eyes_closed,7.63
eyes_closed,9.92
eyes_closed,12.52
eyes_closed,15.11
eyes_closed,17.09
eyes_closed,18.77
eyes_closed,19.99
eyes_closed,20.91
eyes_closed,21.52
eyes_closed,21.82
eyes_closed,21.37
eyes_closed,19.69
eyes_closed,16.94
eyes_closed,13.28
eyes_closed,9.16
eyes_closed,5.65
eyes_closed,3.06
eyes_closed,1.83
eyes_closed,1.38
eyes_closed,1.22
eyes_closed,0.61
eyes_closed,-1.06
